丑	チュウ	Знак Быка	チュウ    うし	ひろ		sign of the ox or cow, 1-3AM, second sign of Chinese zodiac 
褌	コン	Набедренная повязка	コン    ふんどし			loincloth 
襖	オウ	Фусума	オウ    ふすま    あお			opaque sliding door 
覗	シ	Подглядывать	シ    のぞ.く    うかが.う			peep, peek, come in sight 
訊	ジン	Спрашивать	ジン    シュン    シン    き.く    と.う    たず.ねる			request, question, investigate 
訣	ケツ	Разлука	ケツ    わかれ    わかれ.る			separation, part, secret 
註	チュウ	Примечание	チュウ			notes, comment, annotate 
詑	タ; イ	Город Такума	イ    タ    ダ    わ.びる    わ.び    あざむ.く			deceive, delude 
詢	ジュン	Спрашивать	ジュン    シュン    はか.る    まこと			consult with 
詫	タ	Извиняться	タ    わび    わび.しい    かこつ    わ.びる    わび.る	たく		apologize 
誹	ヒ	Поносить	ヒ    ハイ    そし.る			ridicule, slander 
誼	ギ	Дружба	ギ    よしみ    よい			friendship, intimacy 
諄	ジュン	Назойливый	シュン    ひちくど.い    くど.い    くどくど    ねんご.ろ			tedious 
諌	カン	Увещевать	カン    いさ.め    いさ.める			admonish, dissuade 
諏	シュ	Город Сува	シュ    ス    そう    はか.る			consult 
諒	リョウ	Понимание	リョウ    あきら.か    まことに	あき    まさ    まこと		fact, reality, understand, appreciate 
諜	チョウ	Шпион	チョウ    ちょう.ずる    うかが.う    しめ.す			spy out, reconnoiter 
諺	ゲン	Пословица	ゲン    ことわざ			proverb 
謂	イ	Так называемый	イ    い.う    いい    おも.う    いわゆる			reason, origin, history, oral tradition 
謬	ビュウ	Заблуждение	ビュウ    ビョウ    ミュウ    あやま.る			mistake 
讃	サン	Панегирик	サン    ほ.める    たた.える	さぬ		praise, title on a picture 
豹	ヒョウ	Леопард	ヒョウ    ホウ			leopard, panther 
貰	セイ	Получать	セイ    シャ    もら.う			get, have, obtain 
賎	セン	Убогий	セン    ゼン    いや.しい    いや.しむ    いや.しめる    しず    やす.い			despise, low-life, poverty 
賑	シン	Оживлённый	シン    にぎ.わい    にぎ.やか    にぎ.わす    にぎ.わう			flourish, be bustling, prosperity 
贋	ガン	Подделка	ガン    にせ			counterfeit, forgery 
赫	カク	Блистать	カク    あかい    あか    かがや.く			suddenly 
赳	キュウ	Сильный и храбрый	キュウ	たけ    たけし		strong and brave 
趨	スウ	Тенденция	スウ    ソク    しゅ    おもむ.く    はし.る			run, go, quick, tend towards 
跨	コ	Сидеть верхом	コ    カ    また.がる    またが.る    また.ぐ			be, sit or stand astride, extend over, straddle 
蹄	テイ	Копыто	テイ    ひづめ			hoof 
蹟	セキ	Следы прошлого	セキ    シャク    あと			remains, traces, footprint 
躯	ク	Туловище	ク    むくろ    からだ			body, corpse, tree with rotten core 
輔	ホ	Содействие	ホ    フ    たす.ける	すけ    たすく    ゆう		help 
輯	シュウ	Составлять	シュウ    あつ.める    やわ.らぐ			gather, collect, compile 
輿	ヨ	Паланкин	ヨ    かご    こし			palanquin, bier 
轍	テツ	Колея	テツ    わだちい    わだち			rut, wheel track 
轟	ゴウ	Грохот	コウ    ゴウ    とどろ.かす    とどろ.く			roar, thunder, boom resound 
轡	ヒ	Удила	ヒ    くつわ    たづな			bit (horse) 
辰	シン	Знак Дракона	シン    ジン    たつ	とき    のぶ    のぶる	しんのたつ	sign of the dragon, 7-9AM, fifth sign of Chinese zodiac 
辻		Перекрёсток	つじ			crossing, crossroad, street corners, (kokuji) 
辿	テン	Пробираться	テン    たど.る    たどり			follow (road), pursue 
迂	ウ	Окольный	ウ			roundabout way 
迄	キツ	До	キツ    まで    およ.ぶ			until, up to, as far as, to the extent 
迦	カ	Шакьямуни	カ    ケ			(used phonetically) 
迪	テキ	Путь	テキ    みち    みち.びく    すす.む    いた.る	すすむ    すすみ    いたる    ゆう		edify, way, path 
迺	ダイ	Имена	ナイ    ダイ    アイ    の    すなわ.ち    なんじ			in other words, thou, you, possessive particle 
逗	トウ	Город Дзуси	トウ    ズ    とど.まる			stop 
這	シャ	Ползти	シャ    ゲン    は.う    は.い    むか.える    この			crawl, creep, grovel, trail (vines) 
逢	ホウ	Свидание	ホウ    あ.う    むか.える	あい    おう		meeting, tryst, date, rendezvous 
逼	ヒツ	Нехватка	フク    ヒツ    ヒョク    ヒキ    せま.る    むかばき			urge, force, imminent, spur on 
遁	トン	Удаляться	トン    シュン    のが.れる			flee, escape, shirk, evade, set free 
遥	ヨウ	Далеко	ヨウ    はる.か			far off, distant, long ago 
遼	リョウ	Ляодун	リョウ	はるか		distant 
