Id	New	Old	Radical	Strokes	Grade
1188	銭	錢	金	14	5
1189	潜	潛	水	15	S
1190	線		糸	15	2
1191	遷		辵	15	S
1192	選		辵	15	4
1193	薦		艸	16	S
1194	繊	纖	糸	17	S
1195	鮮		魚	17	S
1196	全		入	6	3
1197	前		刀	9	2
1198	善		口	12	6
1199	然		火	12	4
1200	禅	禪	示	13	S
1201	漸		水	14	S
1202	膳		肉	16	S
1203	繕		糸	18	S
1204	狙		犬	8	S
1205	阻		阜	8	S
1206	祖	祖	示	9	5
1207	租		禾	10	S
1208	素		糸	10	5
1209	措		手	11	S
1210	粗		米	11	S
1211	組		糸	11	2
1212	疎		疋	12	S
1213	訴		言	12	S
1214	塑		土	13	S
1215	遡		辵	14	S
1216	礎		石	18	S
1217	双	雙	隹	4	S
1218	壮	壯	士	6	S
1219	早		日	6	1
1220	争	爭	爪	6	4
1221	走		走	7	2
1222	奏		大	9	6
1223	相		目	9	3
1224	荘	莊	艸	9	S
1225	草		艸	9	1
1226	送		辵	9	3
1227	倉		人	10	4
1228	捜	搜	手	10	S
1229	挿	插	手	10	S
1230	桑		木	10	S
1231	巣	巢	巛	11	4
1232	掃		手	11	S
1233	曹		曰	11	S
1234	曽	曾	曰	11	S
1235	爽		爻	11	S
1236	窓		穴	11	6
1237	創		刀	12	6
1238	喪		口	12	S
1239	痩	瘦	疒	12	S
1240	葬		艸	12	S
1241	装	裝	衣	12	6
1242	僧	僧	人	13	S
1243	想		心	13	3
1244	層	層	尸	14	6
1245	総	總	糸	14	5
1246	遭		辵	14	S
1247	槽		木	15	S
1248	踪		足	15	S
1249	操		手	16	6
1250	燥		火	17	S
1251	霜		雨	17	S
1252	騒	騷	馬	18	S
1253	藻		艸	19	S
1254	造		辵	10	5
1255	像		人	14	5
1256	増	增	土	14	5
1257	憎	憎	心	14	S
1258	蔵	藏	艸	15	6
1259	贈	贈	貝	18	S
1260	臓	臟	肉	19	6
1261	即	卽	卩	7	S
1262	束		木	7	4
1263	足		足	7	1
1264	促		人	9	S
1265	則		刀	9	5
1266	息		心	10	3
1267	捉		手	10	S
1268	速		辵	10	3
1269	側		人	11	4
1270	測		水	12	5
1271	俗		人	9	S
1272	族		方	11	3
1273	属	屬	尸	12	5
1274	賊		貝	13	S
1275	続	續	糸	13	4
1276	卒		十	8	4
1277	率		玄	11	5
1278	存		子	6	6
1279	村		木	7	1
1280	孫		子	10	4
1281	尊		寸	12	6
1282	損		手	13	5
1283	遜		辵	14	S
1284	他		人	5	3
1285	多		夕	6	2
1286	汰		水	7	S
1287	打		手	5	3
1288	妥		女	7	S
1289	唾		口	11	S
1290	堕	墮	土	12	S
1291	惰		心	12	S
1292	駄		馬	14	S
1293	太		大	4	2
1294	対	對	寸	7	3
1295	体	體	骨	7	2
1296	耐		而	9	S
1297	待		彳	9	3
1298	怠		心	9	S
1299	胎		肉	9	S
1300	退		辵	9	5
1301	帯	帶	巾	10	4
1302	泰		水	10	S
1303	堆		土	11	S
1304	袋		衣	11	S
1305	逮		辵	11	S
1306	替		曰	12	S
1307	貸		貝	12	5
1308	隊		阜	12	4
1309	滞	滯	水	13	S
1310	態		心	14	5
1311	戴		戈	17	S
1312	大		大	3	1
1313	代		人	5	3
1314	台	臺	至	5	2
1315	第		竹	11	3
1316	題		頁	18	3
1317	滝	瀧	水	13	S
1318	宅		宀	6	6
1319	択	擇	手	7	S
1320	沢	澤	水	7	S
1321	卓		十	8	S
1322	拓		手	8	S
1323	託		言	10	S
1324	濯		水	17	S
1325	諾		言	15	S
1326	濁		水	16	S
1327	但		人	7	S
1328	達		辵	12	4
1329	脱		肉	11	S
1330	奪		大	14	S
1331	棚		木	12	S
1332	誰		言	15	S
1333	丹		丶	4	S
1334	旦		日	5	S
1335	担	擔	手	8	6
1336	単	單	口	9	4
1337	炭		火	9	3
1338	胆	膽	肉	9	S
1339	探		手	11	6
1340	淡		水	11	S
1341	短		矢	12	3
1342	嘆	嘆	口	13	S
1343	端		立	14	S
1344	綻		糸	14	S
1345	誕		言	15	6
1346	鍛		金	17	S
1347	団	團	囗	6	5
1348	男		田	7	1
1349	段		殳	9	6
1350	断	斷	斤	11	5
1351	弾	彈	弓	12	S
1352	暖		日	13	6
1353	談		言	15	3
1354	壇		土	16	S
1355	地		土	6	2
1356	池		水	6	2
1357	知		矢	8	2
1358	値		人	10	6
1359	恥		心	10	S
1360	致		至	10	S
1361	遅	遲	辵	12	S
1362	痴	癡	疒	13	S
1363	稚		禾	13	S
1364	置		网	13	4
1365	緻		糸	16	S
1366	竹		竹	6	1
1367	畜		田	10	S
1368	逐		辵	10	S
1369	蓄		艸	13	S
1370	築		竹	16	5
1371	秩		禾	10	S
1372	窒		穴	11	S
1373	茶		艸	9	2
1374	着		羊	12	3
1375	嫡		女	14	S
1376	中		丨	4	1
1377	仲		人	6	4
1378	虫	蟲	虫	6	1
1379	沖		水	7	S
1380	宙		宀	8	6
1381	忠		心	8	6
1382	抽		手	8	S
1383	注		水	8	3
1384	昼	晝	日	9	2
1385	柱		木	9	3
1386	衷		衣	10	S
1387	酎		酉	10	S
1388	鋳	鑄	金	15	S
1389	駐		馬	15	S
1390	著	著	艸	11	6
1391	貯		貝	12	4
1392	丁		一	2	3
1393	弔		弓	4	S
1394	庁	廳	广	5	6
1395	兆		儿	6	4
1396	町		田	7	1
1397	長		長	8	2
1398	挑		手	9	S
1399	帳		巾	11	3
1400	張		弓	11	5
1401	彫		彡	11	S
1402	眺		目	11	S
1403	釣		金	11	S
1404	頂		頁	11	6
1405	鳥		鳥	11	2
1406	朝		月	12	2
1407	貼		貝	12	S
1408	超		走	12	S
1409	腸		肉	13	4
1410	跳		足	13	S
1411	徴	徵	彳	14	S
1412	嘲		口	15	S
1413	潮		水	15	6
1414	澄		水	15	S
1415	調		言	15	3
1416	聴	聽	耳	17	S
1417	懲	懲	心	18	S
1418	直		目	8	2
1419	勅	敕	力	9	S
1420	捗		手	10	S
1421	沈		水	7	S
1422	珍		玉	9	S
1423	朕		月	10	S
1424	陳		阜	11	S
1425	賃		貝	13	6
1426	鎮	鎭	金	18	S
1427	追		辵	9	3
1428	椎		木	12	S
1429	墜		土	15	S
1430	通		辵	10	2
1431	痛		疒	12	6
1432	塚	塚	土	12	S
1433	漬		水	14	S
1434	坪		土	8	S
1435	爪		爪	4	S
1436	鶴		鳥	21	S
1437	低		人	7	4
1438	呈		口	7	S
1439	廷		廴	7	S
1440	弟		弓	7	2
1441	定		宀	8	3
1442	底		广	8	4
1443	抵		手	8	S
1444	邸		邑	8	S
1445	亭		亠	9	S
1446	貞		貝	9	S
1447	帝		巾	9	S
1448	訂		言	9	S
1449	庭		广	10	3
1450	逓	遞	辵	10	S
1451	停		人	11	4
1452	偵		人	11	S
1453	堤		土	12	S
1454	提		手	12	5
1455	程		禾	12	5
1456	艇		舟	13	S
1457	締		糸	15	S
1458	諦		言	16	S
1459	泥		水	8	S
1460	的		白	8	4
1461	笛		竹	11	3
1462	摘		手	14	S
1463	滴		水	14	S
1464	適		辵	14	5
1465	敵		攴	15	5
1466	溺		水	13	S
1467	迭		辵	8	S
1468	哲		口	10	S
1469	鉄	鐵	金	13	3
1470	徹		彳	15	S
1471	撤		手	15	S
1472	天		大	4	1
1473	典		八	8	4
1474	店		广	8	2
1475	点	點	黑	9	2
1476	展		尸	10	6
1477	添		水	11	S
1478	転	轉	車	11	3
1479	填		土	13	S
1480	田		田	5	1
1481	伝	傳	人	6	4
1482	殿		殳	13	S
1483	電		雨	13	2
1484	斗		斗	4	S
1485	吐		口	6	S
1486	妬		女	8	S
1487	徒		彳	10	4
1488	途		辵	10	S
1489	都	都	邑	11	3
1490	渡		水	12	S
1491	塗		土	13	S
1492	賭		貝	16	S
1493	土		土	3	1
1494	奴		女	5	S
1495	努		力	7	4
1496	度		广	9	3
1497	怒		心	9	S
1498	刀		刀	2	2
1499	冬		冫	5	2
1500	灯	燈	火	6	4
1501	当	當	田	6	2
1502	投		手	7	3
1503	豆		豆	7	3
1504	東		木	8	2
1505	到		刀	8	S
1506	逃		辵	9	S
1507	倒		人	10	S
1508	凍		冫	10	S
1509	唐		口	10	S
1510	島		山	10	3
1511	桃		木	10	S
1512	討		言	10	6
1513	透		辵	10	S
1514	党	黨	黑	10	6
1515	悼		心	11	S
1516	盗	盜	皿	11	S
1517	陶		阜	11	S
1518	塔		土	12	S
1519	搭		手	12	S
1520	棟		木	12	S
1521	湯		水	12	3
1522	痘		疒	12	S
1523	登		癶	12	3
1524	答		竹	12	2
1525	等		竹	12	3
1526	筒		竹	12	S
1527	統		糸	12	5
1528	稲	稻	禾	14	S
1529	踏		足	15	S
1530	糖		米	16	6
1531	頭		頁	16	2
1532	謄		言	17	S
1533	藤		艸	18	S
1534	闘	鬭	鬥	18	S
1535	騰		馬	20	S
1536	同		口	6	2
1537	洞		水	9	S
1538	胴		肉	10	S
1539	動		力	11	3
1540	堂		土	11	4
1541	童		立	12	3
1542	道		辵	12	2
1543	働		人	13	4
1544	銅		金	14	5
1545	導		寸	15	5
1546	瞳		目	17	S
1547	峠		山	9	S
1548	匿		匸	10	S
1549	特		牛	10	4
1550	得		彳	11	4
1551	督		目	13	S
1552	徳	德	彳	14	5
1553	篤		竹	16	S
1554	毒		毋	8	4
1555	独	獨	犬	9	5
1556	読	讀	言	14	2
1557	栃		木	9	S
1558	凸		凵	5	S
1559	突	突	穴	8	S
1560	届	屆	尸	8	6
1561	屯		屮	4	S
1562	豚		豕	11	S
1563	頓		頁	13	S
1564	貪		貝	11	S
1565	鈍		金	12	S
1566	曇		日	16	S
1567	丼		丶	5	S
1568	那		邑	7	S
1569	奈		大	8	S
1570	内		入	4	2
1571	梨		木	11	S
1572	謎		言	17	S
1573	鍋		金	17	S
1574	南		十	9	2
1575	軟		車	11	S
1576	難	難	隹	18	6
1577	二		二	2	1
1578	尼		尸	5	S
1579	弐	貳	貝	6	S
1580	匂		勹	4	S
1581	肉		肉	6	2
1582	虹		虫	9	S
1583	日		日	4	1
1584	入		入	2	1
1585	乳		乙	8	6
1586	尿		尸	7	S
1587	任		人	6	5
1588	妊		女	7	S
1589	忍		心	7	S
1590	認		言	14	6
1591	寧		宀	14	S
1592	熱		火	15	4
1593	年		干	6	1
1594	念		心	8	4
1595	捻		手	11	S
1596	粘		米	11	S
1597	燃		火	16	5
1598	悩	惱	心	10	S
1599	納		糸	10	6
1600	能		肉	10	5
1601	脳	腦	肉	11	6
1602	農		辰	13	3
1603	濃		水	16	S
1604	把		手	7	S
1605	波		水	8	3
1606	派		水	9	6
1607	破		石	10	5
1608	覇	霸	襾	19	S
1609	馬		馬	10	2
1610	婆		女	11	S
1611	罵		网	15	S
1612	拝	拜	手	8	6
1613	杯		木	8	S
1614	背		肉	9	6
1615	肺		肉	9	6
1616	俳		人	10	6
1617	配		酉	10	3
1618	排		手	11	S
1619	敗		攴	11	4
1620	廃	廢	广	12	S
1621	輩		車	15	S
1622	売	賣	貝	7	2
1623	倍		人	10	3
1624	梅	梅	木	10	4
1625	培		土	11	S
1626	陪		阜	11	S
1627	媒		女	12	S
1628	買		貝	12	2
1629	賠		貝	15	S
1630	白		白	5	1
1631	伯		人	7	S
1632	拍		手	8	S
1633	泊		水	8	S
1634	迫		辵	8	S
1635	剥		刀	10	S
1636	舶		舟	11	S
1637	博		十	12	4
1638	薄		艸	16	S
1639	麦	麥	麥	7	2
1640	漠		水	13	S
1641	縛		糸	16	S
1642	爆		火	19	S
1643	箱		竹	15	3
1644	箸		竹	15	S
1645	畑		田	9	3
1646	肌		肉	6	S
1647	八		八	2	1
1648	鉢		金	13	S
1649	発	發	癶	9	3
1650	髪	髮	髟	14	S
1651	伐		人	6	S
1652	抜	拔	手	7	S
1653	罰		网	14	S
1654	閥		門	14	S
1655	反		又	4	3
1656	半		十	5	2
1657	氾		水	5	S
1658	犯		犬	5	5
1659	帆		巾	6	S
1660	汎		水	6	S
1661	伴		人	7	S
1662	判		刀	7	5
1663	坂		土	7	3
1664	阪		阜	7	S
1665	板		木	8	3
1666	版		片	8	5
1667	班		玉	10	6
1668	畔		田	10	S
1669	般		舟	10	S
1670	販		貝	11	S
1671	斑		文	12	S
1672	飯		食	12	4
1673	搬		手	13	S
1674	煩		火	13	S
1675	頒		頁	13	S
1676	範		竹	15	S
1677	繁	繁	糸	16	S
1678	藩		艸	18	S
1679	晩	晚	日	12	6
1680	番		田	12	2
1681	蛮	蠻	虫	12	S
1682	盤		皿	15	S
1683	比		比	4	5
1684	皮		皮	5	3
1685	妃		女	6	S
1686	否		口	7	6
1687	批		手	7	6
1688	彼		彳	8	S
1689	披		手	8	S
1690	肥		肉	8	5
1691	非		非	8	5
1692	卑	卑	十	9	S
1693	飛		飛	9	4
1694	疲		疒	10	S
1695	秘	祕	示	10	6
1696	被		衣	10	S
1697	悲		心	12	3
1698	扉		戶	12	S
1699	費		貝	12	4
1700	碑	碑	石	14	S
1701	罷		网	15	S
1702	避		辵	16	S
1703	尾		尸	7	S
1704	眉		目	9	S
1705	美		羊	9	3
1706	備		人	12	5
1707	微		彳	13	S
1708	鼻		鼻	14	3
1709	膝		肉	15	S
1710	肘		肉	7	S
1711	匹		匸	4	S
1712	必		心	5	4
1713	泌		水	8	S
1714	筆		竹	12	3
1715	姫		女	10	S
1716	百		白	6	1
1717	氷		水	5	3
1718	表		衣	8	3
1719	俵		人	10	5
1720	票		示	11	4
1721	評		言	12	5
1722	漂		水	14	S
1723	標		木	15	4
1724	苗		艸	8	S
1725	秒		禾	9	3
1726	病		疒	10	3
1727	描		手	11	S
1728	猫		犬	11	S
1729	品		口	9	3
1730	浜	濱	水	10	S
1731	貧		貝	11	5
1732	賓	賓	貝	15	S
1733	頻	頻	頁	17	S
1734	敏	敏	攴	10	S
1735	瓶	甁	瓦	11	S
1736	不		一	4	4
1737	夫		大	4	4
1738	父		父	4	2
1739	付		人	5	4
1740	布		巾	5	5
1741	扶		手	7	S
1742	府		广	8	4
1743	怖		心	8	S
1744	阜		阜	8	S
1745	附		阜	8	S
1746	訃		言	9	S
1747	負		貝	9	3
1748	赴		走	9	S
1749	浮		水	10	S
1750	婦		女	11	5
1751	符		竹	11	S
1752	富		宀	12	5
1753	普		日	12	S
1754	腐		肉	14	S
1755	敷		攴	15	S
1756	膚		肉	15	S
1757	賦		貝	15	S
1758	譜		言	19	S
1759	侮	侮	人	8	S
1760	武		止	8	5
1761	部		邑	11	3
1762	舞		舛	15	S
1763	封		寸	9	S
1764	風		風	9	2
1765	伏		人	6	S
1766	服		月	8	3
1767	副		刀	11	4
1768	幅		巾	12	S
1769	復		彳	12	5
1770	福	福	示	13	3
1771	腹		肉	13	6
1772	複		衣	14	5
1773	覆		襾	18	S
1774	払	拂	手	5	S
1775	沸		水	8	S
1776	仏	佛	人	4	5
1777	物		牛	8	3
1778	粉		米	10	4
1779	紛		糸	10	S
1780	雰		雨	12	S
1781	噴		口	15	S
1782	墳		土	15	S
1783	憤		心	15	S
1784	奮		大	16	6
1785	分		刀	4	2
1786	文		文	4	1
1787	聞		耳	14	2
1788	丙		一	5	S
1789	平		干	5	3
1790	兵		八	7	4
1791	併	倂	人	8	S
1792	並	竝	立	8	6
1793	柄		木	9	S
1794	陛		阜	10	6
1795	閉		門	11	6
1796	塀	塀	土	12	S
1797	幣		巾	15	S
1798	弊		廾	15	S
1799	蔽		艸	15	S
1800	餅	餠	食	15	S
1801	米		米	6	2
1802	壁		土	16	S
1803	璧		玉	18	S
1804	癖		疒	18	S
1805	別		刀	7	4
1806	蔑		艸	14	S
1807	片		片	4	6
1808	辺	邊	辵	5	4
1809	返		辵	7	3
1810	変	變	言	9	4
1811	偏		人	11	S
1812	遍		辵	12	S
1813	編		糸	15	5
1814	弁	辨	辛	5	5
1815	便		人	9	4
1816	勉	勉	力	10	3
1817	歩	步	止	8	2
1818	保		人	9	5
1819	哺		口	10	S
1820	捕		手	10	S
1821	補		衣	12	6
1822	舗		舌	15	S
1823	母		毋	5	2
1824	募		力	12	S
1825	墓		土	13	5
1826	慕		心	14	S
1827	暮		日	14	6
1828	簿		竹	19	S
1829	方		方	4	2
1830	包		勹	5	4
1831	芳		艸	7	S
1832	邦		邑	7	S
1833	奉		大	8	S
1834	宝	寶	宀	8	6
1835	抱		手	8	S
1836	放		攴	8	3
1837	法		水	8	4
1838	泡		水	8	S
1839	胞		肉	9	S
1840	俸		人	10	S
1841	倣		人	10	S
1842	峰		山	10	S
1843	砲		石	10	S
1844	崩		山	11	S
1845	訪		言	11	6
1846	報		土	12	5
1847	蜂		虫	13	S
1848	豊	豐	豆	13	5
1849	飽		食	13	S
1850	褒	襃	衣	15	S
1851	縫		糸	16	S
1852	亡		亠	3	6
1853	乏		丿	4	S
1854	忙		心	6	S
1855	坊		土	7	S
1856	妨		女	7	S
1857	忘		心	7	6
1858	防		阜	7	5
1859	房		戶	8	S
1860	肪		肉	8	S
1861	某		木	9	S
1862	冒		冂	9	S
1863	剖		刀	10	S
1864	紡		糸	10	S
1865	望		月	11	4
1866	傍		人	12	S
1867	帽		巾	12	S
1868	棒		木	12	6
1869	貿		貝	12	5
1870	貌		豸	14	S
1871	暴		日	15	5
1872	膨		肉	16	S
1873	謀		言	16	S
1874	頬		頁	16	S
1875	北		匕	5	2
1876	木		木	4	1
1877	朴		木	6	S
1878	牧		牛	8	4
1879	睦		目	13	S
1880	僕		人	14	S
1881	墨	墨	土	14	S
1882	撲		手	15	S
1883	没		水	7	S
1884	勃		力	9	S
1885	堀		土	11	S
1886	本		木	5	1
1887	奔		大	8	S
1888	翻	飜	飛	18	S
1889	凡		几	3	S
1890	盆		皿	9	S
1891	麻		麻	11	S
1892	摩		手	15	S
1893	磨		石	16	S
1894	魔		鬼	21	S
1895	毎	每	毋	6	2
1896	妹		女	8	2
1897	枚		木	8	6
1898	昧		日	9	S
1899	埋		土	10	S
1900	幕		巾	13	6
1901	膜		肉	14	S
1902	枕		木	8	S
1903	又		又	2	S
1904	末		木	5	4
1905	抹		手	8	S
1906	万	萬	艸	3	2
1907	満	滿	水	12	4
1908	慢		心	14	S
1909	漫		水	14	S
1910	未		木	5	4
1911	味		口	8	3
1912	魅		鬼	15	S
1913	岬		山	8	S
1914	密		宀	11	6
1915	蜜		虫	14	S
1916	脈		肉	10	4
1917	妙		女	7	S
1918	民		氏	5	4
1919	眠		目	10	S
1920	矛		矛	5	S
1921	務		力	11	5
1922	無		火	12	4
1923	夢		夕	13	5
1924	霧		雨	19	S
1925	娘		女	10	S
1926	名		口	6	1
1927	命		口	8	3
1928	明		日	8	2
1929	迷		辵	9	5
1930	冥		冖	10	S
1931	盟		皿	13	6
1932	銘		金	14	S
1933	鳴		鳥	14	2
1934	滅		水	13	S
1935	免	免	儿	8	S
1936	面		面	9	3
1937	綿		糸	14	5
1938	麺	麵	麥	16	S
1939	茂		艸	8	S
1940	模		木	14	6
1941	毛		毛	4	2
1942	妄		女	6	S
1943	盲		目	8	S
1944	耗		耒	10	S
1945	猛		犬	11	S
1946	網		糸	14	S
1947	目		目	5	1
1948	黙	默	黑	15	S
1949	門		門	8	2
1950	紋		糸	10	S
1951	問		口	11	3
1952	冶		冫	7	S
1953	夜		夕	8	2
1954	野		里	11	2
1955	弥	彌	弓	8	S
1956	厄		厂	4	S
1957	役		彳	7	3
1958	約		糸	9	4
1959	訳	譯	言	11	6
1960	薬	藥	艸	16	3
1961	躍		足	21	S
1962	闇		門	17	S
1963	由		田	5	3
1964	油		水	8	3
1965	喩		口	12	S
1966	愉		心	12	S
1967	諭		言	16	S
1968	輸		車	16	5
1969	癒		疒	18	S
1970	唯		口	11	S
1971	友		又	4	2
1972	有		月	6	3
1973	勇		力	9	4
1974	幽		幺	9	S
1975	悠		心	11	S
1976	郵		邑	11	6
1977	湧		水	12	S
1978	猶		犬	12	S
1979	裕		衣	12	S
1980	遊		辵	12	3
1981	雄		隹	12	S
1982	誘		言	14	S
1983	憂		心	15	S
1984	融		虫	16	S
1985	優		人	17	6
1986	与	與	臼	3	S
1987	予	豫	豕	4	3
1988	余	餘	食	7	5
1989	誉	譽	言	13	S
1990	預		頁	13	5
1991	幼		幺	5	6
1992	用		用	5	2
1993	羊		羊	6	3
1994	妖		女	7	S
1995	洋		水	9	3
1996	要		襾	9	4
1997	容		宀	10	5
1998	庸		广	11	S
1999	揚		手	12	S
2000	揺	搖	手	12	S
2001	葉		艸	12	3
2002	陽		阜	12	3
2003	溶		水	13	S
2004	腰		肉	13	S
2005	様	樣	木	14	3
2006	瘍		疒	14	S
2007	踊		足	14	S
2008	窯		穴	15	S
2009	養		食	15	4
2010	擁		手	16	S
2011	謡	謠	言	16	S
2012	曜		日	18	2
2013	抑		手	7	S
2014	沃		水	7	S
2015	浴		水	10	4
2016	欲		欠	11	6
2017	翌		羽	11	6
2018	翼		羽	17	S
2019	拉		手	8	S
2020	裸		衣	13	S
2021	羅		网	19	S
2022	来	來	人	7	2
2023	雷		雨	13	S
2024	頼	賴	貝	16	S
2025	絡		糸	12	S
2026	落		艸	12	3
2027	酪		酉	13	S
2028	辣		辛	14	S
2029	乱	亂	乙	7	6
2030	卵		卩	7	6
2031	覧	覽	見	17	6
2032	濫		水	18	S
2033	藍		艸	18	S
2034	欄	欄	木	20	S
2035	吏		口	6	S
2036	利		刀	7	4
2037	里		里	7	2
2038	理		玉	11	2
2039	痢		疒	12	S
2040	裏		衣	13	6
2041	履		尸	15	S
2042	璃		玉	15	S
2043	離		隹	19	S
2044	陸		阜	11	4
2045	立		立	5	1
2046	律		彳	9	6
2047	慄		心	13	S
2048	略		田	11	5
2049	柳		木	9	S
2050	流		水	10	3
2051	留		田	10	5
2052	竜	龍	龍	10	S
2053	粒		米	11	S
2054	隆	隆	阜	11	S
2055	硫		石	12	S
2056	侶		人	9	S
2057	旅		方	10	3
2058	虜	虜	虍	13	S
2059	慮		心	15	S
2060	了		亅	2	S
2061	両	兩	入	6	3
2062	良		艮	7	4
2063	料		斗	10	4
2064	涼		水	11	S
2065	猟	獵	犬	11	S
2066	陵		阜	11	S
2067	量		里	12	4
2068	僚		人	14	S
2069	領		頁	14	5
2070	寮		宀	15	S
2071	療		疒	17	S
2072	瞭		目	17	S
2073	糧		米	18	S
2074	力		力	2	1
2075	緑	綠	糸	14	3
2076	林		木	8	1
2077	厘		厂	9	S
2078	倫		人	10	S
2079	輪		車	15	4
2080	隣		阜	16	S
2081	臨		臣	18	6
2082	瑠		玉	14	S
2083	涙	淚	水	10	S
2084	累		糸	11	S
2085	塁	壘	土	12	S
2086	類	類	頁	18	4
2087	令		人	5	4
2088	礼	禮	示	5	3
2089	冷		冫	7	4
2090	励	勵	力	7	S
2091	戻	戾	戶	7	S
2092	例		人	8	4
2093	鈴		金	13	S
2094	零		雨	13	S
2095	霊	靈	雨	15	S
2096	隷		隶	16	S
2097	齢	齡	齒	17	S
2098	麗		鹿	19	S
2099	暦	曆	日	14	S
2100	歴	歷	止	14	4
2101	列		刀	6	3
2102	劣		力	6	S
2103	烈		火	10	S
2104	裂		衣	12	S
2105	恋	戀	心	10	S
2106	連		辵	10	4
2107	廉		广	13	S
2108	練	練	糸	14	3
2109	錬	鍊	金	16	S
2110	呂		口	7	S
2111	炉	爐	火	8	S
2112	賂		貝	13	S
2113	路		足	13	3
2114	露		雨	21	S
2115	老		老	6	4
2116	労	勞	力	7	4
2117	弄		廾	7	S
2118	郎	郞	邑	9	S
2119	朗	朗	月	10	6
2120	浪		水	10	S
2121	廊	廊	广	12	S
2122	楼	樓	木	13	S
2123	漏		水	14	S
2124	籠		竹	22	S
2125	六		八	4	1
2126	録	錄	金	16	4
2127	麓		鹿	19	S
2128	論		言	15	6
2129	和		口	8	3
2130	話		言	13	2
2131	賄		貝	13	S
2132	脇		肉	10	S
2133	惑		心	12	S
2134	枠		木	8	S
2135	湾	灣	水	12	S
2136	腕		肉	12	S
